Date,HealthIndicator1,FoodPriceIndex,EducationAccess,Trend_HealthIndicator1,Trend_FoodPriceIndex,Trend_EducationAccess
2023-01-01,,,,Increasing,Increasing,Increasing
2023-02-01,,,,Increasing,Increasing,Increasing
2023-03-01,,,,Increasing,Increasing,Increasing
2023-04-01,,,,Increasing,Increasing,Increasing
2023-05-01,103.2,148.0,77.0,Increasing,Increasing,Increasing
2023-06-01,104.8,148.4,78.0,Increasing,Increasing,Increasing
2023-07-01,106.4,149.8,79.0,Increasing,Increasing,Increasing
2023-08-01,107.8,151.4,80.0,Increasing,Increasing,Increasing
2023-09-01,110.2,152.2,81.0,Increasing,Increasing,Increasing
2023-10-01,111.6,152.0,82.0,Increasing,Increasing,Increasing
