Country,Year,Indicator,Value
ABW,1999,"Gross Enrollment Ratio, Primary",106.3735198974609
ABW,2000,"Gross Enrollment Ratio, Primary",108.8868026733398
ABW,2001,"Gross Enrollment Ratio, Primary",110.3496704101563
ABW,2002,"Gross Enrollment Ratio, Primary",115.6694488525391
ABW,2003,"Gross Enrollment Ratio, Primary",115.9850006103516
ABW,2004,"Gross Enrollment Ratio, Primary",117.217170715332
ABW,2005,"Gross Enrollment Ratio, Primary",116.9290390014648
ABW,2006,"Gross Enrollment Ratio, Primary",117.9877395629883
ABW,2007,"Gross Enrollment Ratio, Primary",116.9700393676758
ABW,2008,"Gross Enrollment Ratio, Primary",116.0139007568359
ABW,2009,"Gross Enrollment Ratio, Primary",117.5274810791016
ABW,2010,"Gross Enrollment Ratio, Primary",119.7958374023438
ABW,2011,"Gross Enrollment Ratio, Primary",106.3740386962891
ABW,2012,"Gross Enrollment Ratio, Primary",104.0749435424805
ABW,2013,"Gross Enrollment Ratio, Primary",114.985320023488
ABW,2014,"Gross Enrollment Ratio, Primary",116.2619921828734
ABW,2015,"Gross Enrollment Ratio, Primary",115.0114086705897
ABW,2016,"Gross Enrollment Ratio, Primary",113.6374636979671
ABW,2018,"Gross Enrollment Ratio, Primary",107.9851684570313
ABW,2019,"Gross Enrollment Ratio, Primary",108.0250015258789
ABW,2020,"Gross Enrollment Ratio, Primary",107.2353363037109
ABW,2021,"Gross Enrollment Ratio, Primary",108.5995101928711
ABW,2022,"Gross Enrollment Ratio, Primary",102.6207275390625
ABW,2024,"Gross Enrollment Ratio, Primary",107.716996929947
AFG,1970,"Gross Enrollment Ratio, Primary",31.65142059326172
AFG,1971,"Gross Enrollment Ratio, Primary",32.53971862792969
AFG,1972,"Gross Enrollment Ratio, Primary",32.96287155151367
AFG,1973,"Gross Enrollment Ratio, Primary",33.42451858520508
AFG,1974,"Gross Enrollment Ratio, Primary",33.96281051635742
AFG,1975,"Gross Enrollment Ratio, Primary",34.88248825073242
AFG,1976,"Gross Enrollment Ratio, Primary",35.72822952270508
AFG,1977,"Gross Enrollment Ratio, Primary",36.46279907226563
AFG,1978,"Gross Enrollment Ratio, Primary",37.68218994140625
AFG,1980,"Gross Enrollment Ratio, Primary",43.81010818481445
AFG,1981,"Gross Enrollment Ratio, Primary",49.45978927612305
AFG,1982,"Gross Enrollment Ratio, Primary",20.13608932495117
AFG,1984,"Gross Enrollment Ratio, Primary",24.64843940734863
AFG,1985,"Gross Enrollment Ratio, Primary",25.13636016845703
AFG,1986,"Gross Enrollment Ratio, Primary",26.68324089050293
AFG,1988,"Gross Enrollment Ratio, Primary",34.07814025878906
AFG,1989,"Gross Enrollment Ratio, Primary",31.83338928222656
AFG,1990,"Gross Enrollment Ratio, Primary",30.98303985595703
AFG,1991,"Gross Enrollment Ratio, Primary",31.60502052307129
AFG,1993,"Gross Enrollment Ratio, Primary",33.95524978637695
AFG,1994,"Gross Enrollment Ratio, Primary",44.78884124755859
AFG,1995,"Gross Enrollment Ratio, Primary",47.66144180297852
AFG,1998,"Gross Enrollment Ratio, Primary",32.98432922363281
AFG,1999,"Gross Enrollment Ratio, Primary",26.29052925109863
AFG,2000,"Gross Enrollment Ratio, Primary",21.45784950256348
AFG,2001,"Gross Enrollment Ratio, Primary",22.13965034484863
AFG,2002,"Gross Enrollment Ratio, Primary",73.40131378173828
AFG,2003,"Gross Enrollment Ratio, Primary",95.33574676513672
AFG,2004,"Gross Enrollment Ratio, Primary",105.4750518798828
AFG,2005,"Gross Enrollment Ratio, Primary",99.50390625
AFG,2006,"Gross Enrollment Ratio, Primary",102.2848663330078
AFG,2007,"Gross Enrollment Ratio, Primary",99.3228988647461
AFG,2008,"Gross Enrollment Ratio, Primary",104.4451370239258
AFG,2009,"Gross Enrollment Ratio, Primary",99.7054214477539
AFG,2010,"Gross Enrollment Ratio, Primary",103.4856033325195
AFG,2011,"Gross Enrollment Ratio, Primary",101.5420837402344
AFG,2012,"Gross Enrollment Ratio, Primary",106.5753173828125
AFG,2013,"Gross Enrollment Ratio, Primary",107.9428405761719
AFG,2014,"Gross Enrollment Ratio, Primary",109.8294525146484
AFG,2015,"Gross Enrollment Ratio, Primary",106.773551940918
AFG,2016,"Gross Enrollment Ratio, Primary",106.7840423583984
AFG,2017,"Gross Enrollment Ratio, Primary",106.5435409545898
AFG,2018,"Gross Enrollment Ratio, Primary",107.6876602172852
AFG,2019,"Gross Enrollment Ratio, Primary",109.075309753418
AFG,2023,"Gross Enrollment Ratio, Primary",112.2309036254883
AGO,1971,"Gross Enrollment Ratio, Primary",62.55418014526367
AGO,1972,"Gross Enrollment Ratio, Primary",67.91168975830078
AGO,1973,"Gross Enrollment Ratio, Primary",70.03990173339844
AGO,1974,"Gross Enrollment Ratio, Primary",75.951171875
AGO,1980,"Gross Enrollment Ratio, Primary",159.8102111816406
AGO,1981,"Gross Enrollment Ratio, Primary",142.3614959716797
AGO,1982,"Gross Enrollment Ratio, Primary",133.3821411132813
AGO,1983,"Gross Enrollment Ratio, Primary",120.5005187988281
AGO,1984,"Gross Enrollment Ratio, Primary",105.0863571166992
AGO,1985,"Gross Enrollment Ratio, Primary",82.78462982177734
AGO,1986,"Gross Enrollment Ratio, Primary",89.22267150878906
AGO,1987,"Gross Enrollment Ratio, Primary",89.11580657958984
AGO,1988,"Gross Enrollment Ratio, Primary",87.2197265625
AGO,1989,"Gross Enrollment Ratio, Primary",86.70516967773438
AGO,1990,"Gross Enrollment Ratio, Primary",81.08577728271484
AGO,1991,"Gross Enrollment Ratio, Primary",73.8994369506836
AGO,1992,"Gross Enrollment Ratio, Primary",70.75537872314453
AGO,1998,"Gross Enrollment Ratio, Primary",76.63440704345703
AGO,2007,"Gross Enrollment Ratio, Primary",106.3414535522461
AGO,2008,"Gross Enrollment Ratio, Primary",113.292236328125
AGO,2009,"Gross Enrollment Ratio, Primary",112.2789535522461
AGO,2010,"Gross Enrollment Ratio, Primary",113.87258174337
AGO,2011,"Gross Enrollment Ratio, Primary",128.3863448990288
AGO,2015,"Gross Enrollment Ratio, Primary",120.5802764892578
AGO,2021,"Gross Enrollment Ratio, Primary",89.22660946613215
AGO,2023,"Gross Enrollment Ratio, Primary",86.73539187837672
AIA,1993,"Gross Enrollment Ratio, Primary",106.1886825561523
AIA,1997,"Gross Enrollment Ratio, Primary",107.7508697509766
AIA,1998,"Gross Enrollment Ratio, Primary",104.6639175415039
AIA,1999,"Gross Enrollment Ratio, Primary",107.0989837646484
AIA,2000,"Gross Enrollment Ratio, Primary",104.4097671508789
AIA,2001,"Gross Enrollment Ratio, Primary",101.2925186157227
AIA,2002,"Gross Enrollment Ratio, Primary",98.82270812988281
AIA,2003,"Gross Enrollment Ratio, Primary",102.0451278686523
AIA,2004,"Gross Enrollment Ratio, Primary",100.9866104125977
AIA,2005,"Gross Enrollment Ratio, Primary",100.5551681518555
AIA,2006,"Gross Enrollment Ratio, Primary",102.5084686279297
AIA,2007,"Gross Enrollment Ratio, Primary",104.7042999267578
AIA,2008,"Gross Enrollment Ratio, Primary",107.6923065185547
AIA,2009,"Gross Enrollment Ratio, Primary",106.0
AIA,2010,"Gross Enrollment Ratio, Primary",107.543391188251
AIA,2011,"Gross Enrollment Ratio, Primary",110.1672240802676
AIA,2012,"Gross Enrollment Ratio, Primary",110.5866486850978
AIA,2013,"Gross Enrollment Ratio, Primary",104.3771043771044
AIA,2014,"Gross Enrollment Ratio, Primary",105.0068587105624
AIA,2015,"Gross Enrollment Ratio, Primary",107.2122052704577
AIA,2019,"Gross Enrollment Ratio, Primary",109.6446685791016
AIA,2022,"Gross Enrollment Ratio, Primary",109.0982894897461
AIA,2023,"Gross Enrollment Ratio, Primary",112.1929824561404
AIMS: Asia and the Pacific,1970,"Gross Enrollment Ratio, Primary",99.86782836914062
AIMS: Asia and the Pacific,1971,"Gross Enrollment Ratio, Primary",80.28447723388672
AIMS: Asia and the Pacific,1972,"Gross Enrollment Ratio, Primary",80.82930755615234
AIMS: Asia and the Pacific,1973,"Gross Enrollment Ratio, Primary",83.69850158691406
AIMS: Asia and the Pacific,1974,"Gross Enrollment Ratio, Primary",84.0409164428711
AIMS: Asia and the Pacific,1975,"Gross Enrollment Ratio, Primary",87.40023803710938
AIMS: Asia and the Pacific,1976,"Gross Enrollment Ratio, Primary",90.02735137939453
AIMS: Asia and the Pacific,1977,"Gross Enrollment Ratio, Primary",90.69481658935547
AIMS: Asia and the Pacific,1978,"Gross Enrollment Ratio, Primary",89.07539367675781
AIMS: Asia and the Pacific,1979,"Gross Enrollment Ratio, Primary",89.0961685180664
AIMS: Asia and the Pacific,1980,"Gross Enrollment Ratio, Primary",90.09626007080078
AIMS: Asia and the Pacific,1981,"Gross Enrollment Ratio, Primary",91.46087646484375
AIMS: Asia and the Pacific,1982,"Gross Enrollment Ratio, Primary",93.05136108398438
AIMS: Asia and the Pacific,1983,"Gross Enrollment Ratio, Primary",95.01805877685547
AIMS: Asia and the Pacific,1984,"Gross Enrollment Ratio, Primary",96.53795623779297
AIMS: Asia and the Pacific,1985,"Gross Enrollment Ratio, Primary",98.60379028320312
AIMS: Asia and the Pacific,1986,"Gross Enrollment Ratio, Primary",100.1901397705078
AIMS: Asia and the Pacific,1987,"Gross Enrollment Ratio, Primary",100.6191482543945
AIMS: Asia and the Pacific,1988,"Gross Enrollment Ratio, Primary",101.0629425048828
AIMS: Asia and the Pacific,1989,"Gross Enrollment Ratio, Primary",100.9731521606445
AIMS: Asia and the Pacific,1990,"Gross Enrollment Ratio, Primary",99.42391967773438
AIMS: Asia and the Pacific,1991,"Gross Enrollment Ratio, Primary",99.13188934326172
AIMS: Asia and the Pacific,1992,"Gross Enrollment Ratio, Primary",99.06910705566406
AIMS: Asia and the Pacific,1993,"Gross Enrollment Ratio, Primary",99.49595642089844
AIMS: Asia and the Pacific,1994,"Gross Enrollment Ratio, Primary",100.0023193359375
AIMS: Asia and the Pacific,1995,"Gross Enrollment Ratio, Primary",100.2822723388672
AIMS: Asia and the Pacific,1996,"Gross Enrollment Ratio, Primary",100.2679061889648
AIMS: Asia and the Pacific,1997,"Gross Enrollment Ratio, Primary",100.2690811157227
AIMS: Asia and the Pacific,1998,"Gross Enrollment Ratio, Primary",99.97823333740234
AIMS: Asia and the Pacific,1999,"Gross Enrollment Ratio, Primary",101.0473098754883
AIMS: Asia and the Pacific,2000,"Gross Enrollment Ratio, Primary",101.930549621582
AIMS: Asia and the Pacific,2001,"Gross Enrollment Ratio, Primary",101.552116394043
AIMS: Asia and the Pacific,2002,"Gross Enrollment Ratio, Primary",101.3881607055664
AIMS: Asia and the Pacific,2003,"Gross Enrollment Ratio, Primary",103.6014709472656
AIMS: Asia and the Pacific,2004,"Gross Enrollment Ratio, Primary",104.0794906616211
AIMS: Asia and the Pacific,2005,"Gross Enrollment Ratio, Primary",103.9392395019531
AIMS: Asia and the Pacific,2006,"Gross Enrollment Ratio, Primary",104.0454864501953
AIMS: Asia and the Pacific,2007,"Gross Enrollment Ratio, Primary",105.0233993530273
AIMS: Asia and the Pacific,2008,"Gross Enrollment Ratio, Primary",105.2075424194336
AIMS: Asia and the Pacific,2009,"Gross Enrollment Ratio, Primary",104.8866500854492
AIMS: Asia and the Pacific,2010,"Gross Enrollment Ratio, Primary",104.824089050293
AIMS: Asia and the Pacific,2011,"Gross Enrollment Ratio, Primary",104.3536682128906
AIMS: Asia and the Pacific,2012,"Gross Enrollment Ratio, Primary",105.1852493286133
AIMS: Asia and the Pacific,2013,"Gross Enrollment Ratio, Primary",105.6547088623047
AIMS: Asia and the Pacific,2014,"Gross Enrollment Ratio, Primary",103.6835784912109
AIMS: Asia and the Pacific,2015,"Gross Enrollment Ratio, Primary",103.5607604980469
AIMS: Asia and the Pacific,2016,"Gross Enrollment Ratio, Primary",105.8463363647461
AIMS: Asia and the Pacific,2017,"Gross Enrollment Ratio, Primary",104.9971771240234
AIMS: Asia and the Pacific,2018,"Gross Enrollment Ratio, Primary",99.56964874267578
AIMS: Asia and the Pacific,2019,"Gross Enrollment Ratio, Primary",99.09333038330078
AIMS: Asia and the Pacific,2020,"Gross Enrollment Ratio, Primary",99.78137969970703
AIMS: Asia and the Pacific,2021,"Gross Enrollment Ratio, Primary",100.0986633300781
AIMS: Asia and the Pacific,2022,"Gross Enrollment Ratio, Primary",102.8762817382813
AIMS: Asia and the Pacific,2023,"Gross Enrollment Ratio, Primary",103.0140075683594
AIMS: Asia and the Pacific,2024,"Gross Enrollment Ratio, Primary",105.7032775878906
AIMS: Central Asia,1980,"Gross Enrollment Ratio, Primary",100.626953125
AIMS: Central Asia,1981,"Gross Enrollment Ratio, Primary",74.44941711425781
AIMS: Central Asia,1982,"Gross Enrollment Ratio, Primary",100.9941864013672
AIMS: Central Asia,1983,"Gross Enrollment Ratio, Primary",101.3694534301758
AIMS: Central Asia,1984,"Gross Enrollment Ratio, Primary",101.7425384521484
AIMS: Central Asia,1985,"Gross Enrollment Ratio, Primary",102.0976791381836
AIMS: Central Asia,1986,"Gross Enrollment Ratio, Primary",81.64042663574219
AIMS: Central Asia,1987,"Gross Enrollment Ratio, Primary",102.1060562133789
AIMS: Central Asia,1988,"Gross Enrollment Ratio, Primary",101.7716217041016
AIMS: Central Asia,1989,"Gross Enrollment Ratio, Primary",81.75189971923828
AIMS: Central Asia,1990,"Gross Enrollment Ratio, Primary",83.26582336425781
AIMS: Central Asia,1991,"Gross Enrollment Ratio, Primary",85.23098754882812
AIMS: Central Asia,1992,"Gross Enrollment Ratio, Primary",84.32649230957031
AIMS: Central Asia,1993,"Gross Enrollment Ratio, Primary",84.59342193603516
AIMS: Central Asia,1994,"Gross Enrollment Ratio, Primary",86.30042266845703
AIMS: Central Asia,1995,"Gross Enrollment Ratio, Primary",83.78591918945312
AIMS: Central Asia,1996,"Gross Enrollment Ratio, Primary",93.16184997558594
AIMS: Central Asia,1997,"Gross Enrollment Ratio, Primary",93.76123046875
AIMS: Central Asia,1998,"Gross Enrollment Ratio, Primary",95.57926940917969
AIMS: Central Asia,1999,"Gross Enrollment Ratio, Primary",97.1726303100586
AIMS: Central Asia,2000,"Gross Enrollment Ratio, Primary",98.19837188720703
AIMS: Central Asia,2001,"Gross Enrollment Ratio, Primary",97.86284637451172
AIMS: Central Asia,2002,"Gross Enrollment Ratio, Primary",97.94193267822266
AIMS: Central Asia,2003,"Gross Enrollment Ratio, Primary",97.80113220214844
AIMS: Central Asia,2004,"Gross Enrollment Ratio, Primary",97.85751342773438
AIMS: Central Asia,2005,"Gross Enrollment Ratio, Primary",97.79167938232422
AIMS: Central Asia,2006,"Gross Enrollment Ratio, Primary",97.31208038330078
AIMS: Central Asia,2007,"Gross Enrollment Ratio, Primary",97.27700805664062
AIMS: Central Asia,2008,"Gross Enrollment Ratio, Primary",98.18830108642578
AIMS: Central Asia,2009,"Gross Enrollment Ratio, Primary",98.06852722167969
AIMS: Central Asia,2010,"Gross Enrollment Ratio, Primary",97.74121856689453
AIMS: Central Asia,2011,"Gross Enrollment Ratio, Primary",96.73265075683594
AIMS: Central Asia,2012,"Gross Enrollment Ratio, Primary",95.52336120605469
