country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
ABW,39498.5941293797,107.716996929947,,,107995.0
AFE,1615.39635562849,101.309242248535,5.54080975848282,,769280888.0
AFG,413.757894705303,109.075309753418,14.9857626,,42647492.0
AFW,1411.33702938476,91.0609893798828,4.14322505750462,,521764076.0
AGO,2665.87444776753,86.7353918783767,2.54692864,39.3,37885849.0
ALB,11377.7757431099,111.511650085449,7.05240345,0.3,2377128.0
AND,49303.6491674336,99.8579545454545,7.69928026,,81938.0
ARB,7583.81170078145,91.5640716552734,5.15780327165915,,492612632.0
ARE,50273.5060469837,108.044420617858,4.97095108,0.0,10986400.0
ARG,13969.7836603737,102.535244031037,10.2695179,1.0,45696159.0
ARM,8556.21406956719,101.990554375733,9.32119179,1.9,3033500.0
ASM,18017.4589383973,89.9076309204102,,,46765.0
ATG,23542.4526945578,112.255406797116,3.91348195,,93772.0
AUS,64603.9856308464,99.3657531738281,10.39852047,1.0,27196812.0
AUT,58268.8787651601,100.902870178223,11.8325634,0.5,9177982.0
AZE,7283.8499076179,105.625024046785,4.27113533,0.0,10202830.0
BDI,219.424830882698,101.661087301601,9.09471226,74.2,14047786.0
BEL,56614.5679499036,102.108009338379,10.80371571,0.1,11858610.0
BEN,1485.38018885134,108.036239624023,3.33732462,27.2,14462724.0
BFA,981.992649769081,77.1665925504108,7.79943228,42.1,23548781.0
BGD,2593.41611680774,106.491310395865,2.17014575,5.9,173562364.0
BGR,17596.0173663521,95.4232177734375,7.91853094,1.0,6441421.0
BHR,29653.5682731534,96.8752475247525,3.99562383,,1588670.0
BHS,39455.4466548546,92.856648199446,6.30260801,,401283.0
BIH,9358.78768951134,101.194877624512,8.9216938,0.2,3164253.0
BLR,8317.63399913792,96.8224030073024,7.08167362,0.0,9132629.0
BLZ,7681.24400583113,96.4819245941926,4.14735794,1.0,417072.0
BMU,142855.374713782,92.8512496948242,,,64636.0
BOL,4421.16609889999,98.5726894625786,6.91864729,2.8,12413315.0
BRA,10310.5488778166,103.970321655273,9.73092747,3.8,211998573.0
BRB,26544.8707282621,83.9370240790286,5.40463829,1.7,282467.0
BRN,33153.4738913513,96.9292188716198,2.2286067,,462721.0
BTN,3831.32535494609,114.881123575514,4.41551638,0.0,791524.0
BWA,7695.75319445165,109.27325614686,6.25574684,21.4,2521139.0
CAF,516.160999996036,96.8125991821289,10.65553188,71.6,5330690.0
CAN,54340.3477224733,94.9523391723633,11.3095665,0.2,41288599.0
CEB,24604.8068595604,98.6306533813477,7.17196245394047,,100061963.0
CHE,103998.186685604,102.282958984375,11.69096088,0.2,9005582.0
CHI,74585.5224096294,,,,168126.0
CHL,16709.8893972307,100.318382263184,10.53092575,0.5,19764771.0
CHN,13303.1481543868,99.644962886981,5.94388866,0.0,1408975000.0
CIV,2727.8935220697,93.2964368826882,3.43218303,20.9,31934230.0
CMR,1830.00833684727,114.407278765947,4.5545516,26.7,29123744.0
COD,649.383338556725,117.602096557617,3.68495083,85.3,109276265.0
COG,2482.2489948456,87.880241394043,3.29744148,39.2,6332961.0
COL,7919.20886825345,104.830467224121,8.14139366,7.7,52886363.0
COM,1662.75663312504,97.0049189979678,6.55212021,31.4,866628.0
CPV,5192.48157325878,102.973013922324,5.84791613,14.6,524877.0
CRI,18587.1532203482,106.156616210938,6.8663702,1.3,5129910.0
CSS,19903.8112311908,94.0412826538086,5.48884993985441,,4539060.0
CUB,9605.27914559614,98.1092191903079,9.38383102,,10979783.0
CUW,22832.8953958667,109.168144897769,,,155967.0
CYM,99143.5180243123,95.7366909653192,,,74457.0
CYP,38674.29296875,98.5918273925781,8.11912918,0.0,1358282.0
CZE,31823.3078290564,99.699089050293,8.50710297,0.0,10905028.0
DEU,56103.7323182554,102.190689086914,12.26655293,0.2,83516593.0
DJI,3552.72335079222,,2.28316021,25.4,1168722.0
DMA,10405.2787777582,97.6606082418571,5.00757647,,66205.0
DNK,71026.4832271897,99.8698883056641,9.38812923,0.4,5976992.0
DOM,10875.6618443092,101.939084340722,4.59880495,0.8,11427557.0
DZA,5752.99076651465,105.480690694811,4.35082531,0.0,46814308.0
EAP,10396.7957405051,99.9748001098633,5.608422496099,,2141122258.0
EAR,4450.18711937385,105.642349243164,4.81231265306856,,3552278604.0
EAS,13405.735673015,100.047248840332,6.79850336186314,2.0,2388319494.0
