country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
#country+name,,,,,
ABW,38590.5650288641,107.716996929947,,,108785.0
AFE,1722.38561960923,101.309242248535,5.5437973041247,,788844284.0
AFG,416.871146273728,112.230903625488,14.9857626,,43844111.0
AFW,1600.05837434388,91.0609893798828,4.14260145115394,,532809933.0
AGO,3129.47662331063,86.7353918783767,2.54692864,39.3,39040039.0
ALB,12998.147869552,111.511650085449,7.05240345,0.3,2349580.0
AND,54291.5026031052,99.8579545454545,7.69928026,,82904.0
ARB,7544.41435641482,91.5640716552734,5.16576491698387,,503356133.0
ARE,50273.5126243239,108.044420617858,4.97095108,0.0,11513149.0
ARG,14898.0885943842,102.535244031037,10.2695179,1.0,45851378.0
ARM,9474.01849300368,101.990554375733,9.32119179,0.8,3086700.0
ASM,18017.4589383973,89.9076309204102,,,46029.0
ATG,24819.2454680158,112.255406797116,3.91348195,,94209.0
AUS,65129.7227990563,99.6071014404297,10.39852047,0.9,27614411.0
AUT,62930.0351324599,101.308898925781,11.8325634,0.5,9208163.0
AZE,7410.72281660142,105.625024046785,4.27113533,0.0,10246996.0
BDI,233.823013385395,100.627548217773,9.09471226,74.2,14390003.0
BEL,60750.2735864647,102.108009338379,10.80371571,0.1,11941781.0
BEN,1658.27312662991,108.036239624023,3.33732462,27.2,14814460.0
BFA,1147.57131635601,77.1665925504108,7.79943228,42.1,24074580.0
BGD,2597.34352335275,106.491310395865,2.17014575,5.9,175686899.0
BGR,20328.1667065538,95.2764205932617,7.91853094,1.0,6433302.0
BHR,30596.5794898885,96.8752475247525,3.99562383,,1600366.0
BHS,39455.4466548546,92.856648199446,6.30260801,,403033.0
BIH,10381.8460703874,101.194877624512,8.9216938,0.3,3140095.0
BLR,10279.2547190723,96.8224030073024,7.08167362,0.0,9085991.0
BLZ,7865.47937690933,96.4819245941926,4.14735794,1.0,422924.0
BMU,142250.433195123,92.8512496948242,,,64555.0
BOL,5147.81081955367,93.6766510009766,6.91864729,2.1,12581843.0
BRA,10713.2856869511,104.296913146973,9.73092747,3.0,212812405.0
BRB,28364.8181499736,83.9370240790286,5.40463829,1.7,282623.0
BRN,32234.6428368582,94.8207871800668,2.2286067,,466330.0
BTN,4492.78400306618,114.881123575514,4.41551638,0.0,796682.0
BWA,7778.1151090571,109.27325614686,6.25574684,21.4,2562122.0
CAF,556.131398031455,96.8125991821289,10.65553188,71.6,5513282.0
CAN,55697.6639660837,95.0100479125977,11.3095665,0.3,41651653.0
CEB,27676.9389653713,98.6306533813477,7.17207508856139,,99814596.0
CHE,114769.012314293,101.21174621582,11.69096088,0.2,9092436.0
CHI,74585.5224096294,,,,168466.0
CHL,17994.5911957485,99.4942321777344,10.53092575,0.4,19859921.0
CHN,13861.970224368,99.644962886981,5.94388866,0.0,1406585000.0
CIV,3050.10202257321,93.2964368826882,3.43218303,20.8,32711547.0
CMR,1972.3815800786,114.407278765947,4.5545516,26.7,29879337.0
COD,806.776000708534,117.602096557617,3.68495083,85.3,112832473.0
COG,2514.73393584747,87.880241394043,3.29744148,39.2,6484437.0
COL,8561.62091854449,104.830467224121,8.14139366,8.5,53425635.0
COM,2055.75921566281,97.0049189979678,6.55212021,5.1,882847.0
CPV,5796.47207860911,102.973013922324,5.84791613,14.6,527326.0
CRI,19970.0989059622,104.774353027344,6.8663702,0.8,5152950.0
CSS,20880.0606776787,94.0412826538086,5.48778796194105,,4556558.0
CUB,9605.27914559614,98.1092191903079,9.38383102,,10937203.0
CUW,22832.895498987,79.3049163818359,,,156263.0
CYM,104292.900672109,95.7366909653192,,,75844.0
CYP,41783.08984375,105.259872436523,8.11912918,0.0,1370754.0
CZE,35917.2724081665,99.699089050293,8.50710297,0.0,10886878.0
DEU,60496.4350820414,102.638023376465,12.26655293,0.7,83491249.0
DJI,3905.604954681,,2.28316021,25.4,1184076.0
DMA,10989.0431185083,97.6606082418571,5.00757647,,65871.0
DNK,76970.1535217919,99.7760925292969,9.38812923,0.4,6009169.0
DOM,11059.2081531834,101.939084340722,4.59880495,0.8,11520487.0
DZA,6051.00322704182,105.480690694811,4.35082531,0.0,47435312.0
EAP,10843.4363994141,99.9748001098633,5.60836691195228,,2143908411.0
EAR,4566.42669968306,105.642349243164,4.8276388426126,,3592750579.0
EAS,14077.2712026283,100.047248840332,6.82040022907689,2.0,2390873921.0
ECA,11117.61379372,96.6787490844727,4.92052386059615,,253280471.0
ECS,34603.480892464,99.9414596557617,9.58496768550451,0.6,932525035.0
ECU,7125.27618527738,97.2490097236115,7.56167889,3.4,18289896.0
EGY,3085.80712036204,96.7073863024522,4.88449335,1.4,118365995.0
EMU,50214.0783015991,102.890296936035,10.77442962542,,358664361.0
ERI,688.68165957684,89.7312469482422,3.6837678,,3607003.0
ESP,38627.2472148623,102.936981201172,9.2206583,0.8,49355143.0
EST,34417.6320815138,97.8220596313477,7.83648062,0.3,1366475.0
ETH,932.729352775179,84.4160102082984,2.80310345,38.6,135472051.0
EUU,47089.1638419269,102.439392089844,10.5422385397464,,451127411.0
FIN,56148.580949046,98.865608215332,10.47389507,0.2,5646436.0
FJI,6642.00449450523,110.377230542693,3.61524153,4.7,933154.0
FRA,48985.7307807924,103.439743041992,11.53530598,0.1,68720337.0
FRO,74175.2776311377,,,,54900.0
FSM,4414.00737137479,82.1598198983817,12.88087559,26.1,113683.0
GAB,8263.03321595,100.171603677222,3.13430715,3.8,2593130.0
GBR,57601.9621201954,102.171287536621,11.133358,0.4,69487000.0
GEO,9691.53472415196,99.3560206839885,6.85758877,4.2,3935766.0
GHA,3257.1588903576,100.967018127441,2.94686937,39.0,35064272.0
GIB,,101.773180642778,,,40126.0
GIN,1877.2541220972,100.474517822266,3.69442987,11.7,15099727.0
GMB,919.060423427951,100.429016187878,2.89250112,22.0,2822093.0
GNB,1123.76679992349,113.436782836914,8.82204819,39.9,2249515.0
GNQ,6615.25245207167,47.5486488342285,3.49941635,8.8,1938431.0
GRC,26948.0070432791,102.020217895508,8.39367008,0.6,10413962.0
GRD,12106.8790105068,110.590518436374,4.65330839,0.8,117303.0
GRL,58498.9707973609,,,,56831.0
GTM,6598.18032988711,101.488831252809,6.80241346,9.7,18687881.0
GUM,41833.1517132825,77.9228591918945,,,168999.0
GUY,32413.7930757518,97.5535955044616,2.46673751,13.0,835986.0
HIC,53997.2579539931,99.8059997558594,12.5381196027243,0.6,1423739902.0
HKG,56983.0663059906,103.152955896153,,,7498900.0
HND,3598.21450440452,78.9690848390083,7.70976162,15.7,11005850.0
HPC,1331.89997509038,100.075187683105,4.4525335920373,,965148593.0
HRV,27103.9116109268,101.157791137695,7.14699411,0.3,3876200.0
HTI,2694.18969101404,183.989440244666,3.19156528,40.4,11906095.0
HUN,25907.4743259406,102.887977600098,6.36868954,0.9,9514251.0
IBD,8599.35834895508,105.780838012695,5.90989609361809,,5006926951.0
IBT,6613.2094697403,102.438049316406,5.76917677777576,,6993790788.0
IDA,1608.08422318374,97.2686233520508,3.86413809398463,35.9,1986863837.0
IDB,1841.20446420685,91.0903167724609,3.89355404772797,,689783382.0
